s, g(s)
0.,0.07450650951291851
0.01,0.07437813880324169
0.02,0.07399336684204601
0.03,0.07335404462934525
0.04,0.07246313154777931
0.05,0.07132476562297776
0.06,0.06994421597388462
0.07,0.06832775005994664
0.08,0.0664823722507828
0.09,0.06441542195163594
0.1,0.06213417083920812
0.11,0.05964590368751839
0.12,0.056959260808926354
0.13,0.054086661725372444
0.14,0.051044807469077386
0.15,0.04785058011545392
0.16,0.04451668267607592
0.17,0.04105264127360749
0.18,0.037468921063032595
0.19,0.03377951245933065
0.2,0.030001703999774493
0.21,0.02615362704176461
0.22,0.022253705405795448
0.23,0.018320381810756074
0.24,0.014372287109442272
0.25,0.010430858920945564
0.26,0.006519661659550615
0.27,0.002663011378910998
0.28,-0.0011076316495260417
0.29,-0.004757300331388901
0.3,-0.008244583817854924
0.31,-0.01151813519442452
0.32,-0.01451695396783145
0.33,-0.017163000052932767
0.34,-0.01935840009690631
0.35000000000000003,-0.020979792699741186
0.36,-0.021866499232750348
0.37,-0.021809524723900468
0.38,-0.02053489798107319
0.39,-0.017677545537255878
0.4,-0.012746675039509284
0.41000000000000003,-0.0050805312966738445
0.42,0.006222919084009647
0.43,0.022398875294526707
0.44,0.04514842039683842
0.45,0.07682207976147855
0.46,0.12067482387628371
0.47000000000000003,0.18120415270733792
0.48,0.2645496497624115
0.49,0.37879017000882775
0.5,0.5334832641794551
0.51,0.7363388671324116
0.52,0.9818627661006474
0.53,1.2272657490816932
0.54,1.3818083100800171
0.55,1.382191692865452
0.56,1.2808194654617702
0.5700000000000001,1.1670874456456717
0.58,1.0762716961747172
0.59,1.005357412931578
0.6,0.9448200769051572
0.61,0.8886934080935368
0.62,0.8344376712712404
0.63,0.7812927173534159
0.64,0.7292191850097318
0.65,0.6784153465660049
0.66,0.6291300098128186
0.67,0.5815972445102714
0.68,0.5360156642402664
0.6900000000000001,0.4925430936177876
0.7000000000000001,0.4512965953495277
0.71,0.4123545628463889
0.72,0.37575976678320133
0.73,0.34152291574738225
0.74,0.3096264953990688
0.75,0.2800287193908492
0.76,0.2526674580085715
0.77,0.22746403506385976
0.78,0.20432680666241912
0.79,0.1831544579237983
0.8,0.16383897490014232
0.81,0.14626826795350936
0.8200000000000001,0.13032843922856718
0.8300000000000001,0.1159057002111706
0.84,0.10288795565434768
0.85,0.09116607762864062
0.86,0.0806348982701027
0.87,0.07119395246229701
0.88,0.06274800256833299
0.89,0.055207376740284364
0.9,0.0484881508491008
0.91,0.04251220179062121
0.92,0.03720715728178262
0.93,0.03250626442156356
0.9400000000000001,0.028348196364195024
0.9500000000000001,0.024676813703066354
0.96,0.021440894491892164
0.97,0.01859384445308268
0.98,0.01609339678503843
0.99,0.01390130904982529
1.,0.011983063089799892
